TenureMonths,CustomerAge,MonthlyCharges,TotalCharges,ChargesPerTenure,SupportTickets,ContractType,InternetService,PaymentMethod,OnlineSecurity,TechSupport,PaperlessBilling,Dependents,Churn,ClusterPersona
57,52,19.29,1060.75,18.61,1,Two year,No,Credit card,No,No,Yes,No,0,1
25,50,66.79,1663.04,66.52,0,One year,Fiber optic,Electronic check,Yes,No,Yes,No,1,2
34,38,47.77,1699.75,49.99,4,One year,DSL,Mailed check,No,No,Yes,No,0,1
12,46,36.81,456.71,38.06,3,One year,DSL,Credit card,Yes,No,Yes,No,0,1
13,41,38.95,557.95,42.92,0,Month-to-month,DSL,Electronic check,No,No,Yes,No,1,1
7,31,57.84,359.24,51.32,4,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,Yes,1,1
12,57,107.3,1297.85,108.15,3,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,1,2
18,42,26.78,500.06,27.78,0,Month-to-month,No,Bank transfer,No,No,Yes,Yes,0,1
53,66,20.7,1121.12,21.15,3,Month-to-month,No,Electronic check,No,No,Yes,No,0,1
11,22,101.66,1109.45,100.86,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,2
72,35,94.55,6842.02,95.03,0,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,No,0,0
36,42,67.74,2455.75,68.22,1,Month-to-month,DSL,Bank transfer,Yes,No,Yes,No,0,2
31,55,43.02,1336.74,43.12,2,Two year,DSL,Electronic check,No,No,No,Yes,0,1
24,46,54.16,1284.93,53.54,0,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,0,1
20,45,104.57,2039.46,101.97,1,One year,Fiber optic,Bank transfer,No,No,No,No,1,2
14,28,66.48,863.6,61.69,1,One year,DSL,Credit card,Yes,No,Yes,No,0,2
6,28,21.48,105.3,17.55,2,One year,No,Bank transfer,No,Yes,No,No,0,1
11,45,90.86,994.09,90.37,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,1,2
67,25,43.83,2912.74,43.47,1,Month-to-month,DSL,Mailed check,No,No,No,Yes,0,0
35,35,54.64,1924.39,54.98,2,Month-to-month,DSL,Electronic check,No,No,No,Yes,1,1
66,48,103.02,6828.39,103.46,1,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes,0,0
14,30,26.34,325.03,23.22,1,Month-to-month,No,Credit card,Yes,No,Yes,No,1,1
9,61,84.28,777.74,86.42,0,One year,Fiber optic,Mailed check,Yes,No,Yes,No,0,2
23,56,64.67,1486.49,64.63,2,One year,DSL,Credit card,No,No,Yes,No,0,2
12,23,101.97,1163.36,96.95,1,One year,Fiber optic,Credit card,No,No,Yes,Yes,0,2
27,30,38.24,1064.35,39.42,1,Month-to-month,DSL,Electronic check,No,No,Yes,No,0,1
4,18,25.46,69.09,17.27,0,Month-to-month,No,Electronic check,No,Yes,Yes,Yes,1,1
2,32,87.35,264.66,132.33,1,Two year,Fiber optic,Electronic check,No,No,Yes,No,1,2
30,51,79.73,2432.85,81.1,0,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes,0,2
68,37,88.32,6001.06,88.25,4,One year,Fiber optic,Electronic check,No,No,No,No,0,0
31,47,83.97,2603.01,83.97,0,One year,Fiber optic,Credit card,Yes,No,No,No,0,2
34,23,62.59,2079.25,61.15,0,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes,0,1
24,51,43.16,1097.29,45.72,1,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes,0,1
26,35,69.24,1770.62,68.1,1,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,0,2
5,42,23.51,119.02,23.8,1,Month-to-month,No,Credit card,No,No,No,Yes,0,1
12,40,96.02,1129.81,94.15,1,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,1,2
53,26,58.02,3091.34,58.33,1,Month-to-month,DSL,Credit card,No,Yes,No,No,0,0
18,28,25.01,449.46,24.97,3,Month-to-month,No,Credit card,Yes,No,Yes,No,0,1
52,53,60.47,3122.72,60.05,1,One year,DSL,Mailed check,Yes,Yes,Yes,No,0,0
25,46,55.69,1408.49,56.34,0,Two year,DSL,Electronic check,Yes,No,No,No,0,1
26,54,47.82,1296.04,49.85,1,Month-to-month,DSL,Electronic check,Yes,Yes,No,No,0,1
18,45,86.77,1563.54,86.86,0,Two year,Fiber optic,Electronic check,No,No,No,No,1,2
38,43,92.57,3441.17,90.56,0,Two year,Fiber optic,Bank transfer,Yes,No,Yes,Yes,1,0
45,21,74.16,3350.26,74.45,0,Two year,Fiber optic,Electronic check,No,No,No,No,0,0
11,38,89.2,929.5,84.5,1,Two year,Fiber optic,Electronic check,Yes,Yes,Yes,No,0,2
6,41,46.57,231.46,38.58,0,Month-to-month,DSL,Bank transfer,Yes,No,Yes,No,1,1
3,65,78.42,183.68,61.23,2,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,Yes,1,2
33,50,67.72,2259.62,68.47,1,One year,DSL,Bank transfer,No,Yes,Yes,Yes,0,2
31,60,82.06,2493.03,80.42,1,One year,Fiber optic,Mailed check,No,No,No,Yes,0,2
72,49,86.2,6241.26,86.68,2,Two year,Fiber optic,Credit card,No,No,Yes,No,0,0
24,33,102.79,2495.42,103.98,0,Two year,Fiber optic,Mailed check,No,No,No,No,1,2
21,43,58.43,1196.88,56.99,0,One year,Fiber optic,Electronic check,No,Yes,Yes,No,0,1
28,44,80.53,2271.73,81.13,0,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,Yes,1,2
29,30,65.28,1934.49,66.71,0,Month-to-month,DSL,Credit card,Yes,No,No,Yes,0,2
20,37,18.5,349.62,17.48,0,Month-to-month,No,Electronic check,No,No,No,Yes,1,1
12,39,60.62,770.56,64.21,0,One year,DSL,Mailed check,Yes,Yes,No,No,0,2
23,61,55.76,1288.28,56.01,1,One year,DSL,Mailed check,No,No,No,No,0,1
23,18,125.0,2850.88,123.95,2,Two year,Fiber optic,Electronic check,Yes,No,Yes,No,0,2
22,56,87.78,1960.13,89.1,3,One year,Fiber optic,Credit card,No,Yes,No,No,1,2
41,30,67.36,2736.25,66.74,2,Two year,DSL,Electronic check,No,No,No,Yes,0,0
23,25,21.84,550.93,23.95,2,One year,No,Bank transfer,Yes,No,Yes,No,0,1
6,56,26.62,119.4,19.9,1,Two year,No,Bank transfer,No,Yes,Yes,No,0,1
13,50,93.61,1262.75,97.13,0,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,Yes,1,2
20,57,96.06,1928.79,96.44,0,Two year,Fiber optic,Electronic check,Yes,No,Yes,Yes,0,2
24,51,101.79,2468.0,102.83,3,One year,Fiber optic,Electronic check,No,Yes,No,No,1,2
34,66,44.49,1498.86,44.08,0,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes,0,1
24,48,91.2,2202.58,91.77,0,Month-to-month,Fiber optic,Electronic check,No,No,No,No,1,2
2,40,23.84,23.84,11.92,3,Two year,No,Electronic check,No,No,Yes,No,0,1
7,46,22.49,165.09,23.58,1,Month-to-month,No,Credit card,No,Yes,Yes,No,0,1
35,56,22.35,736.12,21.03,0,Month-to-month,No,Mailed check,No,No,No,No,0,1
19,32,61.41,1192.96,62.79,2,Month-to-month,DSL,Bank transfer,No,No,Yes,Yes,0,1
26,34,52.36,1342.58,51.64,2,One year,DSL,Mailed check,Yes,Yes,Yes,Yes,0,1
17,38,61.18,1021.09,60.06,1,Two year,DSL,Bank transfer,Yes,No,No,No,0,1
13,18,99.73,1255.7,96.59,2,Month-to-month,Fiber optic,Credit card,Yes,No,No,No,1,2
18,43,54.66,990.24,55.01,1,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,0,1
26,19,114.03,2935.08,112.89,1,Two year,Fiber optic,Credit card,Yes,No,Yes,No,0,2
23,42,74.72,1716.64,74.64,0,Two year,Fiber optic,Bank transfer,Yes,No,Yes,No,0,2
45,52,74.06,3321.4,73.81,0,Two year,Fiber optic,Credit card,No,Yes,No,Yes,0,0
5,36,98.73,457.81,91.56,1,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,No,0,2
6,62,107.69,632.52,105.42,4,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No,0,2
19,24,42.44,785.64,41.35,1,Month-to-month,DSL,Electronic check,No,Yes,No,No,0,1
34,56,56.04,1939.29,57.04,4,One year,DSL,Electronic check,Yes,Yes,Yes,No,0,1
39,50,98.28,3872.88,99.3,1,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,Yes,0,0
14,21,99.38,1345.14,96.08,1,Month-to-month,Fiber optic,Credit card,No,No,Yes,Yes,0,2
1,74,84.11,90.88,90.88,3,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,No,1,2
14,41,45.91,632.95,45.21,0,Month-to-month,DSL,Electronic check,Yes,No,Yes,No,1,1
31,31,44.67,1354.06,43.68,1,Two year,DSL,Credit card,Yes,Yes,No,No,0,1
23,25,64.26,1483.1,64.48,2,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,No,0,2
35,39,19.3,691.8,19.77,2,One year,No,Electronic check,No,Yes,No,No,0,1
52,40,22.44,1073.56,20.65,1,Two year,No,Electronic check,No,No,No,Yes,0,1
20,43,96.17,1958.48,97.92,0,Month-to-month,Fiber optic,Electronic check,No,No,No,No,1,2
16,38,91.08,1482.19,92.64,1,One year,Fiber optic,Credit card,No,No,Yes,Yes,1,2
10,49,108.81,1087.18,108.72,4,Two year,Fiber optic,Credit card,No,No,Yes,No,1,2
6,37,99.51,566.35,94.39,1,Two year,Fiber optic,Electronic check,No,Yes,No,No,0,2
4,18,79.05,333.34,83.33,0,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,Yes,1,2
13,40,23.07,276.94,21.3,0,Month-to-month,No,Bank transfer,Yes,No,No,No,0,1
47,18,63.82,,64.76,2,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,No,0,1
37,46,27.99,1067.08,28.84,1,One year,No,Bank transfer,Yes,No,Yes,Yes,0,1
15,30,53.6,804.63,53.64,1,One year,DSL,Bank transfer,Yes,Yes,No,No,0,1
72,43,79.49,5695.18,79.1,0,One year,Fiber optic,Electronic check,Yes,No,No,Yes,0,0
14,57,106.8,1512.59,108.04,1,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,No,1,2
55,30,38.16,2126.27,38.66,2,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes,0,1
64,54,85.3,5447.28,85.11,2,One year,Fiber optic,Credit card,No,No,No,No,0,0
32,36,41.18,1332.14,41.63,0,Month-to-month,DSL,Mailed check,No,No,Yes,No,0,1
13,63,108.63,1395.33,107.33,1,One year,Fiber optic,Credit card,No,Yes,Yes,No,0,2
17,37,74.0,1197.1,70.42,3,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,No,0,2
26,31,53.82,1341.08,51.58,1,Month-to-month,DSL,Credit card,No,Yes,Yes,Yes,0,1
6,50,99.36,601.6,100.27,2,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,Yes,1,2
9,36,92.29,883.94,98.22,2,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,No,0,2
9,31,61.94,523.65,58.18,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,No,0,1
34,36,112.96,3812.39,112.13,2,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,No,1,0
51,41,22.42,1154.11,22.63,1,Month-to-month,No,Credit card,Yes,Yes,No,No,0,1
38,58,73.93,2810.67,73.96,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,No,0,0
46,18,88.16,4065.47,88.38,0,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,No,0,0
12,42,27.2,344.47,28.71,2,One year,DSL,Credit card,Yes,No,No,Yes,0,1
17,49,22.98,390.01,22.94,3,Month-to-month,No,Credit card,Yes,Yes,Yes,Yes,0,1
19,44,66.52,1268.66,66.77,1,One year,DSL,Mailed check,No,No,No,No,1,2
32,57,123.5,3912.61,122.27,1,One year,Fiber optic,Credit card,Yes,No,Yes,No,0,0
13,41,125.0,1610.36,123.87,2,One year,Fiber optic,Electronic check,Yes,No,No,Yes,1,2
44,39,45.63,2052.09,46.64,0,Two year,DSL,Electronic check,No,Yes,No,Yes,0,1
63,49,87.13,5505.74,87.39,1,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,0,0
33,43,67.04,2221.94,67.33,1,One year,DSL,Mailed check,No,No,Yes,Yes,0,2
17,37,85.86,1429.1,84.06,2,Two year,Fiber optic,Mailed check,No,Yes,Yes,No,0,2
11,48,108.93,1170.1,106.37,3,Two year,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,0,2
9,34,31.06,241.96,26.88,4,Month-to-month,No,Mailed check,Yes,Yes,Yes,Yes,1,1
2,34,25.36,25.36,12.68,2,Month-to-month,No,Credit card,Yes,No,No,No,1,1
19,35,97.71,1847.15,97.22,0,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,1,2
18,58,96.49,1723.18,95.73,0,One year,Fiber optic,Credit card,Yes,Yes,Yes,No,0,2
42,18,103.25,4342.84,103.4,2,One year,Fiber optic,Bank transfer,No,Yes,Yes,No,0,0
14,46,99.59,1430.45,102.18,3,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,1,2
20,42,94.67,1871.54,93.58,2,One year,Fiber optic,Electronic check,No,Yes,Yes,No,1,2
28,21,26.92,797.41,28.48,1,One year,No,Electronic check,Yes,No,No,Yes,0,1
33,45,69.53,2312.49,70.08,2,Month-to-month,Fiber optic,Credit card,No,No,No,No,0,2
39,47,53.81,2148.52,55.09,1,Two year,DSL,Electronic check,No,Yes,Yes,No,0,1
26,49,80.61,2056.07,79.08,1,One year,Fiber optic,Electronic check,No,No,Yes,Yes,0,2
6,18,100.87,646.3,107.72,1,Month-to-month,Fiber optic,Credit card,Yes,No,No,Yes,1,2
31,58,51.17,1562.61,50.41,3,One year,DSL,Bank transfer,No,No,Yes,No,1,1
13,33,91.26,1158.6,89.12,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,2
53,50,94.75,5019.86,94.71,1,One year,Fiber optic,Electronic check,Yes,Yes,No,No,0,0
23,50,105.12,2388.09,103.83,2,Two year,Fiber optic,Credit card,No,No,Yes,Yes,0,2
27,31,82.08,2231.21,82.64,1,Two year,Fiber optic,Credit card,No,Yes,Yes,No,0,2
72,49,125.0,9029.44,125.41,4,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes,0,0
39,37,25.02,993.24,25.47,3,Month-to-month,No,Mailed check,Yes,No,Yes,Yes,0,1
30,18,33.67,1008.1,33.6,2,Month-to-month,No,Credit card,No,Yes,No,No,0,1
20,56,96.48,1970.9,98.55,1,One year,Fiber optic,Bank transfer,Yes,No,Yes,No,0,2
7,32,49.32,360.21,51.46,2,Month-to-month,DSL,Credit card,No,No,No,No,0,1
19,31,22.52,422.86,22.26,0,One year,No,Mailed check,No,No,Yes,No,0,1
11,37,65.74,718.7,65.34,3,Month-to-month,Fiber optic,Credit card,No,No,Yes,No,1,2
68,45,61.88,4176.83,61.42,2,Month-to-month,DSL,Electronic check,Yes,Yes,No,No,0,0
31,41,53.45,1623.18,52.36,1,Month-to-month,DSL,Electronic check,No,No,No,No,1,1
52,48,62.1,3213.06,61.79,2,Two year,DSL,Bank transfer,Yes,No,Yes,No,0,0
13,25,59.6,737.96,56.77,1,One year,DSL,Mailed check,No,No,No,No,0,1
11,33,32.63,318.7,28.97,1,Month-to-month,DSL,Credit card,No,No,Yes,No,0,1
37,40,24.86,887.63,23.99,1,Month-to-month,No,Electronic check,No,Yes,No,No,0,1
10,64,102.61,1063.75,106.38,1,One year,Fiber optic,Credit card,Yes,Yes,No,No,0,2
16,40,75.06,1172.69,73.29,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,0,2
70,55,83.54,5876.35,83.95,2,One year,Fiber optic,Bank transfer,Yes,No,Yes,Yes,0,0
16,42,98.6,1555.2,97.2,1,Two year,Fiber optic,Electronic check,No,No,Yes,No,0,2
5,36,23.3,123.14,24.63,0,One year,No,Bank transfer,Yes,No,No,No,0,1
3,39,24.0,43.5,14.5,0,One year,No,Bank transfer,No,No,Yes,No,1,1
5,39,95.43,484.01,96.8,0,One year,Fiber optic,Mailed check,No,No,No,Yes,1,2
54,49,26.11,1489.87,27.59,1,Two year,No,Electronic check,Yes,No,Yes,No,0,1
14,58,71.2,972.32,69.45,1,Two year,Fiber optic,Mailed check,Yes,No,No,Yes,0,2
72,46,49.4,3546.26,49.25,1,One year,DSL,Credit card,Yes,No,No,No,0,0
63,56,85.62,5352.76,84.96,3,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes,0,0
72,30,98.05,,98.59,1,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,0,0
47,37,18.5,913.57,19.44,0,Month-to-month,No,Electronic check,No,Yes,Yes,Yes,0,1
35,33,83.18,2878.77,82.25,0,One year,Fiber optic,Credit card,No,Yes,Yes,No,1,0
11,45,89.64,980.56,89.14,0,One year,Fiber optic,Mailed check,Yes,Yes,No,No,1,2
23,37,39.78,929.57,40.42,0,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,0,1
38,50,60.64,2306.53,60.7,1,Month-to-month,DSL,Bank transfer,Yes,No,No,Yes,0,1
45,30,54.15,2404.31,53.43,3,Month-to-month,DSL,Bank transfer,Yes,No,No,Yes,0,1
8,42,117.28,904.45,113.06,4,Two year,Fiber optic,Electronic check,No,Yes,No,No,0,2
20,50,78.18,1520.55,76.03,0,One year,Fiber optic,Credit card,No,No,Yes,No,0,2
21,18,51.19,1110.79,52.89,0,One year,DSL,Bank transfer,Yes,No,Yes,No,0,1
21,67,84.17,1790.8,85.28,0,Month-to-month,Fiber optic,Mailed check,No,Yes,No,Yes,1,2
9,38,49.3,502.08,55.79,1,One year,DSL,Mailed check,No,No,Yes,No,0,1
72,18,54.99,3924.01,54.5,0,Month-to-month,DSL,Credit card,No,Yes,No,No,0,0
19,43,86.15,1647.37,86.7,1,One year,Fiber optic,Electronic check,Yes,No,Yes,No,0,2
9,42,47.47,432.04,48.0,2,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,1,1
72,41,91.29,6586.16,91.47,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,0,0
63,53,48.34,3066.65,48.68,3,Month-to-month,DSL,Bank transfer,No,No,No,No,0,0
25,50,44.98,1236.33,49.45,1,Month-to-month,DSL,Bank transfer,No,Yes,Yes,No,0,1
15,45,83.15,1357.76,90.52,1,Two year,Fiber optic,Bank transfer,No,No,Yes,No,0,2
4,47,87.74,363.52,90.88,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,1,2
33,40,56.66,1926.39,58.38,2,Month-to-month,DSL,Bank transfer,Yes,No,No,Yes,0,1
14,63,107.56,1475.63,105.4,2,One year,Fiber optic,Bank transfer,No,No,No,No,0,2
22,24,61.98,1360.15,61.83,2,Two year,Fiber optic,Mailed check,Yes,No,Yes,No,0,1
72,43,83.53,5985.99,83.14,3,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,No,0,0
14,42,51.06,723.72,51.69,1,One year,DSL,Electronic check,No,Yes,Yes,No,0,1
32,51,77.17,2487.95,77.75,1,Two year,Fiber optic,Bank transfer,Yes,No,No,Yes,0,2
40,31,91.73,3749.8,93.74,1,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,0,0
53,21,49.57,2594.46,48.95,1,Month-to-month,DSL,Bank transfer,No,No,Yes,No,0,0
21,43,26.23,597.34,28.44,2,Month-to-month,No,Credit card,No,No,Yes,No,0,1
19,45,24.48,450.7,23.72,1,Two year,No,Credit card,No,No,No,Yes,0,1
19,59,28.07,513.78,27.04,1,Month-to-month,No,Electronic check,Yes,Yes,Yes,No,0,1
30,26,72.72,2173.3,72.44,1,Month-to-month,Fiber optic,Mailed check,No,No,No,No,1,2
62,55,78.27,4922.26,79.39,2,One year,Fiber optic,Electronic check,No,No,Yes,No,0,0
18,70,100.93,1748.06,97.11,0,One year,Fiber optic,Credit card,Yes,No,No,No,0,2
1,37,90.41,106.24,106.24,0,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,Yes,1,2
43,26,109.67,4755.09,110.58,0,One year,Fiber optic,Mailed check,Yes,Yes,Yes,Yes,0,0
24,37,86.5,2042.2,85.09,2,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,0,2
33,42,64.1,2133.93,64.66,3,Month-to-month,DSL,Credit card,No,Yes,Yes,No,0,2
4,48,85.43,316.39,79.1,0,One year,Fiber optic,Mailed check,Yes,No,Yes,Yes,1,2
15,34,24.43,435.13,29.01,0,Two year,No,Electronic check,No,Yes,Yes,No,0,1
40,60,62.5,2454.85,61.37,3,Month-to-month,DSL,Mailed check,Yes,No,Yes,No,0,0
7,28,78.9,572.56,81.79,2,Two year,Fiber optic,Electronic check,No,No,No,No,0,2
32,21,21.23,664.17,20.76,0,One year,No,Bank transfer,No,No,Yes,Yes,0,1
22,55,78.27,1716.96,78.04,1,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,No,0,2
12,18,23.71,274.44,22.87,0,One year,No,Credit card,No,No,Yes,No,0,1
11,39,78.74,904.99,82.27,0,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,1,2
9,79,44.23,404.89,44.99,2,Two year,DSL,Credit card,No,Yes,Yes,No,0,1
24,41,71.07,1656.48,69.02,2,Two year,Fiber optic,Mailed check,Yes,Yes,No,No,0,2
26,28,50.65,1330.2,51.16,3,Month-to-month,DSL,Electronic check,Yes,No,Yes,No,0,1
17,41,91.43,1564.11,92.01,1,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,Yes,0,2
8,41,54.43,472.24,59.03,1,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,1,1
32,43,48.04,1549.44,48.42,2,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes,0,1
43,49,105.51,4484.19,104.28,0,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,No,0,0
36,29,84.93,3099.12,86.09,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,0
72,62,78.05,5659.73,78.61,3,One year,Fiber optic,Bank transfer,Yes,No,Yes,No,0,0
20,44,95.29,1924.49,96.22,1,Month-to-month,Fiber optic,Credit card,Yes,No,No,Yes,0,2
58,50,61.35,3568.64,61.53,4,Two year,DSL,Mailed check,No,No,Yes,Yes,0,0
13,34,59.93,792.71,60.98,0,Two year,DSL,Electronic check,Yes,No,Yes,No,0,1
11,57,100.77,1149.34,104.48,2,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,No,1,2
25,38,92.86,2369.53,94.78,1,Two year,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,0,2
66,45,18.5,1240.15,18.79,1,Month-to-month,No,Mailed check,No,No,Yes,No,0,1
18,30,58.76,1080.44,60.02,2,Month-to-month,DSL,Bank transfer,No,Yes,No,Yes,1,1
4,30,29.81,126.72,31.68,1,One year,No,Mailed check,No,No,No,Yes,1,1
43,50,89.43,,91.4,2,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes,1,2
21,36,85.15,1717.33,81.78,1,One year,Fiber optic,Bank transfer,No,Yes,Yes,No,0,2
29,31,51.79,1479.31,51.01,0,Two year,DSL,Bank transfer,Yes,Yes,Yes,Yes,0,1
12,34,103.59,1215.69,101.31,1,Two year,Fiber optic,Credit card,No,No,Yes,Yes,0,2
25,50,51.91,1371.92,54.88,0,One year,DSL,Electronic check,No,No,No,Yes,0,1
5,34,52.61,255.93,51.19,1,One year,DSL,Credit card,No,No,No,No,0,1
72,40,67.97,4824.68,67.01,3,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,0,0
48,42,84.58,4031.82,84.0,1,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes,0,0
24,18,87.3,2115.22,88.13,0,One year,Fiber optic,Electronic check,No,No,Yes,No,1,2
42,24,110.63,4648.25,110.67,0,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes,0,0
13,46,80.53,1043.98,80.31,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,No,0,2
47,33,88.76,4179.6,88.93,3,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,Yes,1,0
17,54,22.63,425.31,25.02,3,One year,No,Credit card,Yes,No,No,Yes,0,1
16,53,95.08,1554.3,97.14,2,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,Yes,0,2
9,50,50.98,430.93,47.88,1,One year,DSL,Credit card,No,No,No,Yes,0,1
31,63,59.33,1850.34,59.69,0,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,No,0,1
23,41,66.88,1593.09,69.26,1,Month-to-month,Fiber optic,Electronic check,No,No,No,No,1,2
59,49,84.03,4965.81,84.17,2,Month-to-month,Fiber optic,Electronic check,No,No,No,No,0,0
8,34,51.04,388.29,48.54,1,Month-to-month,DSL,Electronic check,No,No,Yes,Yes,0,1
31,71,103.89,3181.03,102.61,2,Two year,Fiber optic,Credit card,Yes,No,Yes,No,0,2
52,65,109.31,5693.05,109.48,4,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,Yes,1,0
27,42,108.97,2935.44,108.72,1,Month-to-month,Fiber optic,Mailed check,No,No,No,No,0,2
17,46,43.31,728.9,42.88,3,One year,DSL,Electronic check,No,Yes,No,No,0,1
26,58,117.06,3051.53,117.37,2,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,1,2
56,40,22.81,1253.6,22.39,3,Month-to-month,No,Credit card,No,Yes,Yes,Yes,1,1
56,34,29.35,1688.83,30.16,1,Month-to-month,No,Bank transfer,No,No,No,No,0,1
21,52,58.75,1231.36,58.64,1,Two year,DSL,Bank transfer,No,No,No,Yes,0,1
55,42,46.04,2601.89,47.31,1,One year,DSL,Electronic check,No,No,Yes,Yes,0,0
22,44,101.16,2261.63,102.8,3,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,Yes,1,2
42,31,87.34,3665.61,87.28,0,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,Yes,0,0
34,21,106.66,3581.84,105.35,1,Month-to-month,Fiber optic,Mailed check,Yes,No,No,No,0,0
16,44,19.64,337.37,21.09,0,Month-to-month,No,Mailed check,Yes,No,No,No,0,1
10,52,85.7,873.55,87.35,2,One year,Fiber optic,Credit card,No,No,Yes,No,0,2
52,39,55.12,2841.72,54.65,1,Two year,DSL,Bank transfer,No,Yes,No,No,0,0
63,59,19.64,1197.04,19.0,0,Month-to-month,No,Bank transfer,No,Yes,Yes,Yes,0,1
31,33,50.05,1551.02,50.03,1,Two year,DSL,Mailed check,No,Yes,No,Yes,0,1
22,29,20.39,456.77,20.76,0,Month-to-month,No,Electronic check,No,No,Yes,No,0,1
7,41,72.34,511.95,73.14,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,1,2
52,41,19.57,1017.56,19.57,0,Month-to-month,No,Bank transfer,Yes,No,No,Yes,0,1
28,51,36.85,1073.54,38.34,1,Month-to-month,DSL,Mailed check,Yes,No,No,No,1,1
18,32,50.94,894.66,49.7,2,Two year,DSL,Bank transfer,Yes,No,Yes,No,0,1
42,58,77.48,3320.59,79.06,2,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,No,0,0
6,65,61.7,311.85,51.97,2,Month-to-month,Fiber optic,Bank transfer,No,No,No,No,1,1
9,41,55.68,475.61,52.85,2,Two year,DSL,Credit card,No,No,Yes,No,0,1
13,56,27.38,314.11,24.16,1,Two year,No,Credit card,Yes,No,Yes,No,0,1
33,29,90.45,2992.52,90.68,2,One year,Fiber optic,Electronic check,No,No,No,No,1,0
